nouns,dates,values,,adj,dates,values,,unkn,dates,values,,intj,dates,values,,prcl,dates,values,,prep,dates,values,,conj,dates,values
,1997,23.06,,,1997,11.51,,,1997,6.27,,,1997,0.29,,,1997,4.43,,,1997,10.28,,,1997,9.41
,1998,27.6,,,1998,13.39,,,1998,5.44,,,1998,0.05,,,1998,3.9,,,1998,10.68,,,1998,7.61
,1999,21.75,,,1999,10.52,,,1999,5.1,,,1999,0.14,,,1999,5.93,,,1999,9.88,,,1999,10.82
,2000,22.75,,,2000,12.91,,,2000,3.91,,,2000,0.07,,,2000,5.66,,,2000,9.31,,,2000,9.87
,2001,22.12,,,2001,11.18,,,2001,2.59,,,2001,0.03,,,2001,5.49,,,2001,11.89,,,2001,9.95
,2003,23.3,,,2003,12.43,,,2003,2.29,,,2003,0.04,,,2003,5.29,,,2003,10.19,,,2003,9.88
,2004,23.13,,,2004,10.64,,,2004,4.26,,,2004,0.29,,,2004,6.43,,,2004,9.81,,,2004,10.39
,2005,26.3,,,2005,13.6,,,2005,1.99,,,2005,0.02,,,2005,3.34,,,2005,10.76,,,2005,8.95
,2006,23.93,,,2006,11.59,,,2006,4.32,,,2006,0.13,,,2006,5.88,,,2006,10.44,,,2006,9.58
,2007,30.06,,,2007,17.03,,,2007,2.0,,,2008,0.21,,,2007,3.91,,,2007,11.52,,,2007,10.32
,2008,24.01,,,2008,10.99,,,2008,3.24,,,2009,0.08,,,2008,5.48,,,2008,9.98,,,2008,9.88
,2009,24.41,,,2009,13.0,,,2009,04.01,,,2010,0.05,,,2009,5.67,,,2009,11.35,,,2009,9.9
,2010,21.66,,,2010,10.38,,,2010,2.84,,,2011,0.23,,,2010,5.86,,,2010,10.4,,,2010,11.66
,2011,28.38,,,2011,10.78,,,2011,8.19,,,2012,0.06,,,2011,4.66,,,2011,10.33,,,2011,7.8
,2012,20.52,,,2012,10.08,,,2012,7.3,,,2013,0.11,,,2012,5.61,,,2012,9.34,,,2012,9.93
,2013,21.23,,,2013,11.2,,,2013,5.95,,,2014,0.01,,,2013,7.11,,,2013,09.05,,,2013,11.13
,2014,20.56,,,2014,14.2,,,2014,4.73,,,,,,,2014,5.35,,,2014,9.75,,,2014,9.95
,,,,,,,,,,,,,,,,,,,,,,,,,,
pred,dates,values,,npro,dates,values,,advb,dates,values,,numr,dates,values,,grnd,dates,values,,prts,dates,values,,prtf,dates,values
,1000,0.39,,,1000,7.35,,,1000,6.16,,,1000,0.37,,,1000,0.69,,,1000,0.51,,,1000,01.04
,1771,0.3,,,1771,8.78,,,1771,5.15,,,1771,0.56,,,1771,0.71,,,1771,0.53,,,1771,01.03
,1774,0.41,,,1774,12.35,,,1774,6.29,,,1774,0.29,,,1774,0.72,,,1774,0.4,,,1774,0.85
,1782,0.5,,,1782,14.11,,,1782,6.28,,,1782,0.31,,,1782,0.68,,,1782,0.45,,,1782,0.68
,1790,0.23,,,1790,10.3,,,1790,6.14,,,1790,0.56,,,1790,01.08,,,1790,0.38,,,1790,0.68
,1791,0.26,,,1791,7.19,,,1791,5.27,,,1791,0.69,,,1791,0.81,,,1791,0.43,,,1791,0.81
,1794,0.46,,,1794,12.71,,,1794,6.9,,,1794,0.38,,,1794,0.66,,,1794,0.66,,,1794,0.62
,1814,0.29,,,1814,9.96,,,1814,6.65,,,1814,0.68,,,1814,0.72,,,1814,0.29,,,1814,0.72
,1818,0.26,,,1818,11.96,,,1818,5.76,,,1818,0.25,,,1818,0.87,,,1818,0.45,,,1818,1.15
,1834,0.42,,,1834,13.93,,,1834,06.08,,,1834,0.35,,,1834,0.6,,,1834,0.3,,,1834,0.57
,1836,0.34,,,1836,13.52,,,1836,5.56,,,1836,0.31,,,1836,01.04,,,1836,0.26,,,1836,01.06
,1845,0.55,,,1845,11.7,,,1845,7.84,,,1845,0.42,,,1845,0.26,,,1845,0.25,,,1845,0.25
,1848,0.41,,,1848,11.65,,,1848,6.78,,,1848,0.25,,,1848,1.0,,,1848,0.23,,,1848,0.68
,1853,0.43,,,1853,9.38,,,1853,6.87,,,1853,0.24,,,1853,0.51,,,1853,0.36,,,1853,0.7
,1859,0.39,,,1859,12.54,,,1859,5.93,,,1859,0.38,,,1859,0.83,,,1859,0.34,,,1859,0.73
,1872,0.38,,,1872,7.61,,,1872,5.9,,,1872,0.36,,,1872,0.38,,,1872,0.46,,,1872,1.34
,1873,0.45,,,1873,11.0,,,1873,6.65,,,1873,0.3,,,1873,0.86,,,1873,0.28,,,1873,0.88
,1880,0.3,,,1880,8.2,,,1880,5.1,,,1888,0.25,,,1880,0.15,,,1880,0.52,,,1880,0.59
,1888,0.5,,,1888,11.85,,,1888,7.45,,,1897,0.36,,,1888,0.84,,,1888,0.3,,,1888,0.96
,1897,0.39,,,1897,10.51,,,1897,5.95,,,1912,0.55,,,1897,0.74,,,1897,0.41,,,1897,0.96
,1912,0.48,,,1912,10.39,,,1912,8.63,,,1913,0.27,,,1912,0.47,,,1912,0.38,,,1912,0.67
,1913,0.64,,,1913,7.46,,,1913,6.35,,,1915,0.98,,,1913,0.66,,,1913,0.36,,,1913,0.81
,1915,0.43,,,1915,10.79,,,1915,5.84,,,1920,0.46,,,1915,0.32,,,1915,0.38,,,1915,0.7
,1920,0.57,,,1920,10.51,,,1920,9.45,,,1922,0.46,,,1920,0.32,,,1920,0.29,,,1920,0.41
,1922,0.38,,,1922,11.88,,,1922,6.52,,,1927,0.37,,,1922,0.59,,,1922,0.38,,,1922,0.98
,1927,0.52,,,1927,8.29,,,1927,6.1,,,1936,0.33,,,1927,0.12,,,1927,0.08,,,1927,0.27
